date,Wk,
2011-05-29,MAY Wk 1,22
2011-05-30,MAY Wk 1,22
2011-05-31,MAY Wk 1,22
2011-06-01,JUN Wk 1,22
2011-06-02,JUN Wk 1,22
2011-06-03,JUN Wk 1,22
2011-06-04,JUN Wk 1,22
2011-06-05,JUN Wk 2,23
2011-06-06,JUN Wk 2,23
2011-06-07,JUN Wk 2,23
2011-06-08,JUN Wk 2,23
2011-06-09,JUN Wk 2,23
2011-06-10,JUN Wk 2,23
2011-06-11,JUN Wk 2,23
2011-06-12,JUN Wk 3,24
2011-06-13,JUN Wk 3,24
2011-06-14,JUN Wk 3,24
2011-06-15,JUN Wk 3,24
2011-06-16,JUN Wk 3,24
2011-06-17,JUN Wk 3,24
2011-06-18,JUN Wk 3,24
2011-06-19,JUN Wk 4,25
2011-06-20,JUN Wk 4,25
2011-06-21,JUN Wk 4,25
2011-06-22,JUN Wk 4,25
2011-06-23,JUN Wk 4,25
2011-06-24,JUN Wk 4,25
2011-06-25,JUN Wk 4,25
2011-06-26,JUN Wk 5,26
2011-06-27,JUN Wk 5,26
2011-06-28,JUN Wk 5,26
2011-06-29,JUN Wk 5,26
2011-06-30,JUN Wk 5,26
2011-07-01,JUL Wk 5,26
2011-07-02,JUL Wk 5,26
2011-07-03,JUL Wk 1,27
2011-07-04,JUL Wk 1,27
2011-07-05,JUL Wk 1,27
2011-07-06,JUL Wk 1,27
2011-07-07,JUL Wk 1,27
2011-07-08,JUL Wk 1,27
2011-07-09,JUL Wk 1,27
2011-07-10,JUL Wk 2,28
2011-07-11,JUL Wk 2,28
2011-07-12,JUL Wk 2,28
2011-07-13,JUL Wk 2,28
2011-07-14,JUL Wk 2,28
2011-07-15,JUL Wk 2,28
2011-07-16,JUL Wk 2,28
2011-07-17,JUL Wk 3,29
2011-07-18,JUL Wk 3,29
2011-07-19,JUL Wk 3,29
2011-07-20,JUL Wk 3,29
2011-07-21,JUL Wk 3,29
2011-07-22,JUL Wk 3,29
2011-07-23,JUL Wk 3,29
2011-07-24,JUL Wk 4,30
2011-07-25,JUL Wk 4,30
2011-07-26,JUL Wk 4,30
2011-07-27,JUL Wk 4,30
2011-07-28,JUL Wk 4,30
2011-07-29,JUL Wk 4,30
2011-07-30,JUL Wk 4,30
2011-07-31,JUL Wk 1,31
2011-08-01,AUG Wk 1,31
2011-08-02,AUG Wk 1,31
2011-08-03,AUG Wk 1,31
2011-08-04,AUG Wk 1,31
2011-08-05,AUG Wk 1,31
2011-08-06,AUG Wk 1,31
2011-08-07,AUG Wk 2,32
2011-08-08,AUG Wk 2,32
2011-08-09,AUG Wk 2,32
2011-08-10,AUG Wk 2,32
2011-08-11,AUG Wk 2,32
2011-08-12,AUG Wk 2,32
2011-08-13,AUG Wk 2,32
2011-08-14,AUG Wk 3,33
2011-08-15,AUG Wk 3,33
2011-08-16,AUG Wk 3,33
2011-08-17,AUG Wk 3,33
2011-08-18,AUG Wk 3,33
2011-08-19,AUG Wk 3,33
2011-08-20,AUG Wk 3,33
2011-08-21,AUG Wk 4,34
2011-08-22,AUG Wk 4,34
